Method,SNR,nestboot,topology,random,Max_AUROC,Max_MCC,Max_F1
CLR,1000,No,smallworld,Yes,0.511819940156387,0.055561860868245286,0.14392449862367285
CLR,1000,yes,smallworld,No,0.645663542234933,0.30265253386267366,0.332425068119891
GENIE3,1000,No,smallworld,No,0.7229505215651916,0.39964721167925793,0.42827442827442824
GENIE3,1000,No,smallworld,Yes,0.5033852602499178,0.008650856889906773,0.1457990115321252
GENIE3,1000,yes,smallworld,No,0.7265809973568153,0.3195194130986066,0.3910034602076124
TIGRESS,1000,No,smallworld,No,0.5554563672465509,0.11174590046807091,0.19665271966527198
TIGRESS,1000,No,smallworld,Yes,0.499327723683413,-0.0013180928993687326,0.14263074484944532
TIGRESS,1000,yes,smallworld,No,0.6222753063357451,0.06373598904194912,0.1930261519302615
Lasso,1000,No,smallworld,No,0.9947360839892716,0.39269773419196147,0.3891178895300907
Lasso,1000,No,smallworld,Yes,0.5162320790736091,0.026174383983355847,0.1778265642151482
Lasso,1000,yes,smallworld,No,0.7332323215747625,-0.21263672882217907,0.14721586575133486
LSCO,1000,No,smallworld,No,0.9777373001416717,0.853803126821012,0.8616780045351474
LSCO,1000,No,smallworld,Yes,0.5105378602646361,0.031618282248491544,0.1787751996957018
LSCO,1000,yes,smallworld,No,0.7642806741167396,0.18472467003183526,0.26476578411405294
CLR,1000,No,smallworld,No,0.6586668635848963,0.3472145320495415,0.3656509695290858
CLR,1000,No,smallworld,Yes,0.4995569339831635,-0.009284449066508585,0.14647887323943662
CLR,1000,yes,smallworld,No,0.6876466630564991,0.36594511572632815,0.3486238532110092
GENIE3,1000,No,smallworld,No,0.7212531292677011,0.37190573762364704,0.39999999999999997
GENIE3,1000,No,smallworld,Yes,0.49977846699158174,-0.006563783218279171,0.14519056261343014
GENIE3,1000,yes,smallworld,No,0.7240355109207568,0.3404956218535014,0.37868162692847124
TIGRESS,1000,No,smallworld,No,0.6138634080346285,0.17617957671333068,0.25162689804772237
TIGRESS,1000,No,smallworld,Yes,0.4877928930752246,-0.02502273715882273,0.1435624762628181
TIGRESS,1000,yes,smallworld,No,0.6670012453254712,0.09980824376379657,0.2116883116883117
Lasso,1000,No,smallworld_scalefree,No,0.994472545926416,0.41495618221747965,0.4028776978417266
Lasso,1000,No,smallworld_scalefree,Yes,0.5111577018981223,0.03429780990901408,0.15867158671586717
Lasso,1000,yes,smallworld_scalefree,No,0.7124838430614219,-0.22554801373783445,0.12752721617418353
LSCO,1000,No,smallworld_scalefree,No,0.986160500737876,0.8997590448463558,0.9045226130653267
LSCO,1000,No,smallworld_scalefree,Yes,0.5,0.017439846487226802,0.15981380915438326
LSCO,1000,yes,smallworld_scalefree,No,0.7609607653554527,0.18602896386164938,0.25708061002178645
CLR,1000,No,smallworld_scalefree,No,0.5475110681390261,0.07101023445290079,0.1688888888888889
CLR,1000,No,smallworld_scalefree,Yes,0.49956236323851205,-0.0020619194909921364,0.12993039443155452
CLR,1000,yes,smallworld_scalefree,No,0.5694641494071548,0.10403847680519684,0.19834710743801653
GENIE3,1000,No,smallworld_scalefree,No,0.7034573304157548,0.3154127085762414,0.3570057581573896
GENIE3,1000,No,smallworld_scalefree,Yes,0.499781181619256,-0.006136108067566259,0.12476370510396975
GENIE3,1000,yes,smallworld_scalefree,No,0.7136216986412904,0.30016753295294424,0.3621794871794872
TIGRESS,1000,No,smallworld_scalefree,No,0.521571421301715,0.042097707114803776,0.13513513513513514
TIGRESS,1000,No,smallworld_scalefree,Yes,0.47459671263548925,-0.047997408351921934,0.12537993920972643
TIGRESS,1000,yes,smallworld_scalefree,No,0.5276505012467558,0.0005534997242045224,0.14972611077297626
Lasso,1000,No,smallworld_scalefree,No,0.9968141945773524,0.3989608845455708,0.37922077922077924
Lasso,1000,No,smallworld_scalefree,Yes,0.5380163476874003,0.030059651382580755,0.16459830176355322
Lasso,1000,yes,smallworld_scalefree,No,0.7000368819776714,-0.23371196474885625,0.13001912045889102
LSCO,1000,No,smallworld_scalefree,No,0.9656698564593302,0.8131706537159031,0.8186528497409326
LSCO,1000,No,smallworld_scalefree,Yes,0.5,0.02157294081153705,0.1624815361890694
LSCO,1000,yes,smallworld_scalefree,No,0.7242862838915469,0.11571284940262662,0.2116564417177914
CLR,1000,No,smallworld_scalefree,No,0.5623923444976077,0.10111111175933425,0.18965517241379312
CLR,1000,No,smallworld_scalefree,Yes,0.49956140350877193,-0.006225524927857098,0.13279352226720648
CLR,1000,yes,smallworld_scalefree,No,0.550432615629984,0.07406361691670225,0.1753246753246753
GENIE3,1000,No,smallworld_scalefree,No,0.6605043859649123,0.24984679255545322,0.3127962085308057
GENIE3,1000,No,smallworld_scalefree,Yes,0.5000149521531101,9.752483789455716e-05,0.127771514468245
GENIE3,1000,yes,smallworld_scalefree,No,0.6628139952153109,0.2532666598297736,0.32558139534883723
TIGRESS,1000,No,smallworld_scalefree,No,0.4908492822966507,-0.016731619984606833,0.13365539452495975
TIGRESS,1000,No,smallworld_scalefree,Yes,0.5039473684210527,0.007708163259258902,0.1281759575274934
TIGRESS,1000,yes,smallworld_scalefree,No,0.4974272328548644,-0.058210202857686986,0.13073394495412846
Lasso,100000,No,scalefree,No,0.9999889380530973,0.5504835267599871,0.5421412300683371
Lasso,100000,No,scalefree,Yes,0.5075626843657817,0.027301158440993258,0.1780554470909801
Lasso,100000,yes,scalefree,No,0.7790754056047198,-0.1934895261512419,0.14649190439475712
LSCO,100000,No,scalefree,No,1.0,1.0,1.0
LSCO,100000,No,scalefree,Yes,0.5363117625368733,0.04220944738644114,0.18014184397163122
LSCO,100000,yes,scalefree,No,0.7983646755162241,0.33107004673811297,0.3912087912087912
CLR,100000,No,scalefree,No,0.5584421091445427,0.1292177643153593,0.19907407407407407
CLR,100000,No,scalefree,Yes,0.5018620943952802,0.03880434116050357,0.14210919970082275
CLR,100000,yes,scalefree,No,0.5673764749262536,0.13284755103434112,0.2125
GENIE3,100000,No,scalefree,No,0.6634421091445427,0.33773465100225303,0.35648148148148145
GENIE3,100000,No,scalefree,Yes,0.509511430678466,0.02242955940807953,0.1418918918918919
GENIE3,100000,yes,scalefree,No,0.6913246681415929,0.3084590127113694,0.3399638336347197
TIGRESS,100000,No,scalefree,No,0.5238016224188792,0.06270736947907041,0.1445966514459665
TIGRESS,100000,No,scalefree,Yes,0.4867441002949852,-0.037754860770910295,0.14210526315789473
TIGRESS,100000,yes,scalefree,No,0.5024686578171091,-0.024793301221149974,0.14237542150618207
Lasso,100000,No,random,No,0.9966638381130485,0.8046131149129149,0.8041237113402062
Lasso,100000,No,random,Yes,0.5152985114961787,0.029815322322924512,0.11836578846888124
Lasso,100000,yes,random,No,0.6806351273930105,-0.2418860047179078,0.08713190802743043
LSCO,100000,No,random,No,0.9989622631311548,0.996617671987908,0.9968253968253968
LSCO,100000,No,random,Yes,0.5298322325395366,0.04353531856929491,0.13014119091467158
LSCO,100000,yes,random,No,0.7022911284307474,0.37779870359871515,0.32673267326732675
CLR,100000,No,random,No,0.526500124312229,0.07784089966776815,0.1137820512820513
CLR,100000,No,random,Yes,0.4995730145175064,-0.0073494337420139414,0.08294930875576037
CLR,100000,yes,random,No,0.527002778108076,0.1234587974809887,0.11591695501730104
GENIE3,100000,No,random,No,0.7256118323622567,0.33924008748101087,0.3824289405684755
GENIE3,100000,No,random,Yes,0.4997865072587532,-0.005195794550018083,0.0844069302532208
GENIE3,100000,yes,random,No,0.7197542941767828,0.30686394023773317,0.35294117647058826
TIGRESS,100000,No,random,No,0.49952166816201665,-0.0011205102713783138,0.0916030534351145
TIGRESS,100000,No,random,Yes,0.4944735106854468,-0.01340768847793252,0.08285385500575373
TIGRESS,100000,yes,random,No,0.5065034212887395,-0.04018309765343558,0.10023866348448686
Lasso,100000,No,smallworld_scalefree,No,0.9995501501195868,0.4465654844749371,0.42418235877106036
Lasso,100000,No,smallworld_scalefree,Yes,0.5113978932369854,0.03429780990901408,0.15299246928260007
Lasso,100000,yes,smallworld_scalefree,No,0.7310538903872578,-0.22232287753980212,0.12790697674418605
LSCO,100000,No,smallworld_scalefree,No,0.9999633606432243,0.9974534708543349,0.9976689976689977
LSCO,100000,No,smallworld_scalefree,Yes,0.5,0.0,0.15211754537597233
LSCO,100000,yes,smallworld_scalefree,No,0.7768469797974658,0.19139536453343983,0.26431718061674003
CLR,100000,No,smallworld_scalefree,No,0.5544949366444456,0.10225559573281358,0.18262806236080176
CLR,100000,No,smallworld_scalefree,Yes,0.5046328431123098,0.012162244462797718,0.12462908011869436
CLR,100000,yes,smallworld_scalefree,No,0.5533489389852935,0.09999736964663967,0.18448637316561847
GENIE3,100000,No,smallworld_scalefree,No,0.7013353010024935,0.29456453603251687,0.3564727954971858
GENIE3,100000,No,smallworld_scalefree,Yes,0.499781181619256,-0.006136108067566259,0.12434061793519216
GENIE3,100000,yes,smallworld_scalefree,No,0.7109429545570201,0.2968345184245081,0.359805510534846
TIGRESS,100000,No,smallworld_scalefree,No,0.504798737977711,0.009941101713967096,0.12635814889336017
TIGRESS,100000,No,smallworld_scalefree,Yes,0.48879446338608723,-0.02245846073356557,0.125
TIGRESS,100000,yes,smallworld_scalefree,No,0.5594768714060353,0.041710838204613035,0.16531604538087522
Lasso,100000,No,smallworld,No,0.999013627371565,0.38351578227321187,0.3730650154798762
Lasso,100000,No,smallworld,Yes,0.5060201793104208,0.055001361833790126,0.18393574297188756
Lasso,100000,yes,smallworld,No,0.7261989386850936,-0.20997148198412635,0.14546839299314546
LSCO,100000,No,smallworld,No,0.9999577531276462,0.9884793973436049,0.9895615866388309
LSCO,100000,No,smallworld,Yes,0.5,0.012067376869081294,0.17620787657328463
LSCO,100000,yes,smallworld,No,0.7923162123291068,0.17266359246871552,0.2645803698435278
CLR,100000,No,smallworld,No,0.6193143516299027,0.2562903047798605,0.29708222811671087
CLR,100000,No,smallworld,Yes,0.5090206256578114,0.04720410384369183,0.14216598436918496
CLR,100000,yes,smallworld,No,0.6566863022782086,0.2758757789760185,0.3025210084033614
GENIE3,100000,No,smallworld,No,0.7221845674012112,0.3778276123337296,0.4364406779661017
GENIE3,100000,No,smallworld,Yes,0.500634621495576,0.002360991277435942,0.14576731552738795
GENIE3,100000,yes,smallworld,No,0.7286189497427533,0.3194762806181457,0.39092495636998253
TIGRESS,100000,No,smallworld,No,0.6083659828183807,0.13462100199184202,0.21855670103092784
TIGRESS,100000,No,smallworld,Yes,0.502978404500945,0.0056010660754240655,0.14131647452584603
TIGRESS,100000,yes,smallworld,No,0.6530392951017507,0.13750712797614761,0.23548387096774193
Lasso,100000,No,random,No,0.992147451866122,0.7005861159247976,0.6990291262135921
Lasso,100000,No,random,Yes,0.5277897720352964,0.033954544870434915,0.12167300380228137
Lasso,100000,yes,random,No,0.6640053254503382,-0.2500223584207449,0.08404040404040405
LSCO,100000,No,random,No,0.9992609692098184,0.9930620627373901,0.9934640522875817
LSCO,100000,No,random,Yes,0.5092198934909933,0.04286111213144002,0.11967149002737584
LSCO,100000,yes,random,No,0.6932399441990236,0.2809268967470742,0.23958333333333331
CLR,100000,No,random,No,0.5382912058103874,0.13388432407537185,0.13861386138613863
CLR,100000,No,random,Yes,0.5037034576676521,0.012647432526389805,0.08849557522123894
CLR,100000,yes,random,No,0.5507218697755782,0.0738559707829676,0.13901345291479822
GENIE3,100000,No,random,No,0.7201259950620564,0.33728758653385116,0.3804034582132565
GENIE3,100000,No,random,Yes,0.5027236190919055,0.00928875677815932,0.09026798307475317
GENIE3,100000,yes,random,No,0.7044790248115056,0.28848791853609934,0.33510638297872336
TIGRESS,100000,No,random,No,0.5154033945594048,0.03071379826603927,0.09061488673139159
TIGRESS,100000,No,random,Yes,0.4940545388115721,-0.011234672814301964,0.08058891902363424
TIGRESS,100000,yes,random,No,0.5096724460535202,-0.0535399879050538,0.09566184649610679
Lasso,100000,No,random,No,0.9996171348560429,0.6977462966984429,0.689655172413793
Lasso,100000,No,random,Yes,0.5020428590181151,0.030786639603641492,0.12014134275618374
Lasso,100000,yes,random,No,0.6789648420407807,-0.22081388545480513,0.086636697997548
LSCO,100000,No,random,No,0.9973472915025816,0.9965771610578668,0.9967845659163987
LSCO,100000,No,random,Yes,0.5245867791196289,0.033178620363446425,0.12023460410557185
LSCO,100000,yes,random,No,0.6853819353286077,0.2464414380856786,0.28187919463087246
CLR,100000,No,random,No,0.5519001050144395,0.09795102557769787,0.152317880794702
CLR,100000,No,random,Yes,0.49957337883959047,-0.00729965401770078,0.08197989172467131
CLR,100000,yes,random,No,0.5133182375076574,0.055375225696915185,0.09405940594059405
GENIE3,100000,No,random,No,0.7130371051019515,0.35500052229878487,0.3856209150326797
GENIE3,100000,No,random,Yes,0.4997866894197952,-0.005160602012828565,0.08931419457735247
GENIE3,100000,yes,random,No,0.7094723571366064,0.29447359991885863,0.34120734908136485
TIGRESS,100000,No,random,No,0.5009079373413844,0.0018158746827688808,0.09123162696401418
TIGRESS,100000,No,random,Yes,0.47527238120241533,-0.048316453872693454,0.08217054263565891
TIGRESS,100000,yes,random,No,0.47949620416557276,-0.04474982766813161,0.09781968179139658
Lasso,100000,No,scalefree,No,1.0,0.603098565037532,0.5968586387434556
Lasso,100000,No,scalefree,Yes,0.5124365864780144,0.021752176031460648,0.17085427135678394
Lasso,100000,yes,scalefree,No,0.7741715460975046,-0.21227399957612006,0.139984532095901
LSCO,100000,No,scalefree,No,1.0,1.0,1.0
LSCO,100000,No,scalefree,Yes,0.5110857997592241,0.03557674155624867,0.17316692667706707
LSCO,100000,yes,scalefree,No,0.7994806721117871,0.2522735277560187,0.32761904761904764
CLR,100000,No,scalefree,No,0.5295627686548797,0.04872379002498275,0.15384615384615385
CLR,100000,No,scalefree,Yes,0.499559277214632,-0.009028332036400447,0.13532710280373833
CLR,100000,yes,scalefree,No,0.5384649873411442,0.06877490221743703,0.16435432230522945
GENIE3,100000,No,scalefree,No,0.6852333064320724,0.30928229230540655,0.3765182186234818
GENIE3,100000,No,scalefree,Yes,0.499779638607316,-0.006382717368049732,0.13707414829659317
GENIE3,100000,yes,scalefree,No,0.6942166104792813,0.2961705049003337,0.36170212765957444
TIGRESS,100000,No,scalefree,No,0.5066604469425096,0.02218820837740601,0.1355297641332834
TIGRESS,100000,No,scalefree,Yes,0.49477524091891656,-0.01873747417223057,0.13368185212845407
TIGRESS,100000,yes,scalefree,No,0.5389896573237253,0.01939377669213525,0.1597938144329897
Lasso,100000,No,scalefree,No,0.9986873710981248,0.38521802283539325,0.3768366464995679
Lasso,100000,No,scalefree,Yes,0.5175134840185523,0.03518930546641264,0.17274939172749393
Lasso,100000,yes,scalefree,No,0.7164120586333015,-0.2118024954952668,0.13848508033664883
LSCO,100000,No,scalefree,No,0.9999961842183086,0.9952230638785539,0.9956521739130434
LSCO,100000,No,scalefree,Yes,0.5270891881733663,0.04171583656272154,0.16666666666666666
LSCO,100000,yes,scalefree,No,0.7928030541516659,0.21870808529648736,0.28888888888888886
CLR,100000,No,scalefree,No,0.6173600895945541,0.13784472060994252,0.23583815028901733
CLR,100000,No,scalefree,Yes,0.499559277214632,-0.009028332036400447,0.1362088535754824
CLR,100000,yes,scalefree,No,0.6222233033603681,0.12165439174682238,0.22253129346314324
GENIE3,100000,No,scalefree,No,0.6606968762103184,0.2933804983865964,0.3486682808716707
GENIE3,100000,No,scalefree,Yes,0.499779638607316,-0.006382717368049732,0.13890072432893055
GENIE3,100000,yes,scalefree,No,0.6815749257353488,0.2857775205781549,0.3259762308998302
TIGRESS,100000,No,scalefree,No,0.509795111602075,0.02241335710532297,0.14696058784235136
TIGRESS,100000,No,scalefree,Yes,0.4863871988155814,-0.03131830966996724,0.12588832487309645
TIGRESS,100000,yes,scalefree,No,0.5290485920719504,0.02175224886352405,0.15911193339500465
Lasso,100000,No,smallworld,No,0.999013627371565,0.38351578227321187,0.3730650154798762
Lasso,100000,No,smallworld,Yes,0.5060201793104208,0.055001361833790126,0.18393574297188756
Lasso,100000,yes,smallworld,No,0.7261989386850936,-0.20997148198412635,0.14546839299314546
LSCO,100000,No,smallworld,No,0.9999577531276462,0.9884793973436049,0.9895615866388309
LSCO,100000,No,smallworld,Yes,0.5160170750837131,0.03461824176252866,0.17662938681064402
LSCO,100000,yes,smallworld,No,0.7923162123291068,0.17266359246871552,0.2645803698435278
CLR,100000,No,smallworld,No,0.6193143516299027,0.2562903047798605,0.29708222811671087
CLR,100000,No,smallworld,Yes,0.5090206256578114,0.04720410384369183,0.14216598436918496
CLR,100000,yes,smallworld,No,0.6566863022782086,0.2758757789760185,0.3025210084033614
GENIE3,100000,No,smallworld,No,0.7221845674012112,0.3778276123337296,0.4364406779661017
GENIE3,100000,No,smallworld,Yes,0.5021288750025257,0.011034224519244677,0.1423106350420811
GENIE3,100000,yes,smallworld,No,0.7286189497427533,0.3194762806181457,0.39092495636998253
TIGRESS,100000,No,smallworld,No,0.6083659828183807,0.13462100199184202,0.21855670103092784
TIGRESS,100000,No,smallworld,Yes,0.4961197166153275,-0.008003466233262565,0.14340198321891687
TIGRESS,100000,yes,smallworld,No,0.6530392951017507,0.13750712797614761,0.23548387096774193
Lasso,100000,No,smallworld,No,0.9985322298619203,0.4138652516220603,0.40368509212730314
Lasso,100000,No,smallworld,Yes,0.5163460363824662,0.03271087678569393,0.18198037466547728
Lasso,100000,yes,smallworld,No,0.7484697812566665,-0.21162703497655422,0.14715974075486085
LSCO,100000,No,smallworld,No,0.9993746022889921,0.9977192623056454,0.9979381443298969
LSCO,100000,No,smallworld,Yes,0.5131889630978884,0.02098766016167779,0.17720499395892067
LSCO,100000,yes,smallworld,No,0.7944091632616223,0.18242967639876995,0.2631578947368421
CLR,100000,No,smallworld,No,0.6451086788063108,0.3009158237705628,0.33062330623306235
CLR,100000,No,smallworld,Yes,0.4995569339831635,-0.009284449066508585,0.14432989690721648
CLR,100000,yes,smallworld,No,0.683420214385606,0.35526217607484845,0.3238095238095238
GENIE3,100000,No,smallworld,No,0.7227601007200278,0.35175613827926844,0.39292035398230085
GENIE3,100000,No,smallworld,Yes,0.5020576131687243,0.06096485071463411,0.14571092831962398
GENIE3,100000,yes,smallworld,No,0.7199330478019002,0.3535743448840038,0.38196286472148544
TIGRESS,100000,No,smallworld,No,0.6369365722735487,0.2128816283400601,0.29296875000000006
TIGRESS,100000,No,smallworld,Yes,0.49434862913915734,-0.010409209352438924,0.14527662777568684
TIGRESS,100000,yes,smallworld,No,0.7051815020849629,0.18729607292117956,0.26790227464195454
Lasso,100000,No,smallworld_scalefree,No,0.9995501501195868,0.4465654844749371,0.42418235877106036
Lasso,100000,No,smallworld_scalefree,Yes,0.5113978932369854,0.03429780990901408,0.15299246928260007
Lasso,100000,yes,smallworld_scalefree,No,0.7310538903872578,-0.22232287753980212,0.12790697674418605
LSCO,100000,No,smallworld_scalefree,No,0.9999633606432243,0.9974534708543349,0.9976689976689977
LSCO,100000,No,smallworld_scalefree,Yes,0.511590249860058,0.040037485890603706,0.16539325842696628
LSCO,100000,yes,smallworld_scalefree,No,0.7768469797974658,0.19139536453343983,0.26431718061674003
CLR,100000,No,smallworld_scalefree,No,0.5544949366444456,0.10225559573281358,0.18262806236080176
CLR,100000,No,smallworld_scalefree,Yes,0.5046328431123098,0.012162244462797718,0.12462908011869436
CLR,100000,yes,smallworld_scalefree,No,0.5533489389852935,0.09999736964663967,0.18448637316561847
GENIE3,100000,No,smallworld_scalefree,No,0.7013353010024935,0.29456453603251687,0.3564727954971858
GENIE3,100000,No,smallworld_scalefree,Yes,0.499781181619256,-0.006136108067566259,0.1251920122887865
GENIE3,100000,yes,smallworld_scalefree,No,0.7109429545570201,0.2968345184245081,0.359805510534846
TIGRESS,100000,No,smallworld_scalefree,No,0.504798737977711,0.009941101713967096,0.12635814889336017
TIGRESS,100000,No,smallworld_scalefree,Yes,0.4855376316726884,-0.03031106733480686,0.12672811059907832
TIGRESS,100000,yes,smallworld_scalefree,No,0.5594768714060353,0.041710838204613035,0.16531604538087522
Lasso,100000,No,smallworld_scalefree,No,0.9993102073365231,0.4540692375908764,0.4326450344149459
Lasso,100000,No,smallworld_scalefree,Yes,0.5269527511961722,0.015470223071389937,0.16028146989835806
Lasso,100000,yes,smallworld_scalefree,No,0.7286981658692185,-0.23371196474885625,0.13051823416506717
LSCO,100000,No,smallworld_scalefree,No,1.0,0.997516165899306,0.9977324263038548
LSCO,100000,No,smallworld_scalefree,Yes,0.5041168261562998,0.014531414294481059,0.1604887983706721
LSCO,100000,yes,smallworld_scalefree,No,0.7806798245614035,0.11068923689449363,0.20763358778625954
CLR,100000,No,smallworld_scalefree,No,0.54164673046252,0.07557911127164481,0.16195372750642673
CLR,100000,No,smallworld_scalefree,Yes,0.49956140350877193,-0.008789470193656071,0.1305201177625123
CLR,100000,yes,smallworld_scalefree,No,0.5513636363636363,0.09347638431621191,0.18253968253968253
GENIE3,100000,No,smallworld_scalefree,No,0.660547248803828,0.2483552626899739,0.31967213114754095
GENIE3,100000,No,smallworld_scalefree,Yes,0.499780701754386,-0.006213850336343093,0.12911084043848964
GENIE3,100000,yes,smallworld_scalefree,No,0.6678957336523126,0.22859580783958766,0.30490018148820325
TIGRESS,100000,No,smallworld_scalefree,No,0.50103668261563,0.0018986288826637228,0.1289228159457167
TIGRESS,100000,No,smallworld_scalefree,Yes,0.48229665071770333,-0.030518878088356762,0.13025048169556838
TIGRESS,100000,yes,smallworld_scalefree,No,0.5101355661881978,0.002899998794561605,0.14751552795031056
