Method,SNR,nestboot,topology,random,Max_AUROC,Max_MCC,Max_F1
GENIE3,10,yes,random,No,0.5123586984200795,0.0808790008806832,0.0911392405063291
TIGRESS,10,No,random,No,0.5231715215730561,0.07232373919751167,0.10465116279069768
TIGRESS,10,No,random,Yes,0.49978687127024723,-0.003058290288621268,0.08539603960396039
TIGRESS,10,yes,random,No,0.48124743968733735,-0.02621286583385749,0.08
Lasso,10,No,random,No,0.6354877701934016,0.20433610763187918,0.21088435374149658
Lasso,10,No,random,Yes,0.5009093047168985,0.026446628937215205,0.11863117870722434
Lasso,10,yes,random,No,0.37655880808611175,-0.26826981457021387,0.08313349320543566
LSCO,10,No,random,No,0.6300743305329483,0.18030444665075762,0.2227979274611399
LSCO,10,No,random,Yes,0.5022725781044893,0.0136700900758702,0.11828372632392732
LSCO,10,yes,random,No,0.49396440448061607,-0.009627025639123389,0.0849056603773585
CLR,10,No,random,No,0.5029918176249234,0.0511911634318247,0.08771929824561404
CLR,10,No,random,Yes,0.49957337883959047,-0.005021002887897086,0.08234295415959253
CLR,10,yes,random,No,0.4970136518771331,-0.010710298948601406,0.08303249097472924
GENIE3,10,No,random,No,0.5462063533735888,0.134359339643169,0.1382488479262673
GENIE3,10,No,random,Yes,0.4997866894197952,-0.005160602012828565,0.08179012345679013
GENIE3,10,yes,random,No,0.5285029425921065,0.07322491125449491,0.11411411411411412
TIGRESS,10,No,random,No,0.5347080926752429,0.08383156243567873,0.12082670906200316
TIGRESS,10,No,random,Yes,0.49957337883959047,-0.00729965401770078,0.08012568735271014
TIGRESS,10,yes,random,No,0.5185593878533299,0.013535344932030796,0.1083223249669749
Lasso,10,No,scalefree,No,0.6014768983036942,0.15062687929819193,0.18951612903225806
Lasso,10,No,scalefree,Yes,0.5050597265229262,0.03690295445312465,0.17123795404002967
Lasso,10,yes,scalefree,No,0.4103062355596512,-0.26743761201738603,0.13589251439539346
LSCO,10,No,scalefree,No,0.6016934439146867,0.25043916001676525,0.22253922967189727
LSCO,10,No,scalefree,Yes,0.5,0.021971650653271287,0.17145167812373635
LSCO,10,yes,scalefree,No,0.5052743642430729,0.0117395281858153,0.13847251962883653
CLR,10,No,scalefree,No,0.499559277214632,-0.009028332036400447,0.1403091557669441
CLR,10,No,scalefree,Yes,0.5040847943007485,0.01240577264383053,0.1377572448551029
CLR,10,yes,scalefree,No,0.4946254714875253,-0.023129183138177398,0.13522599925289502
GENIE3,10,No,scalefree,No,0.5273238587473933,0.08868088913676456,0.14944649446494465
GENIE3,10,No,scalefree,Yes,0.5011056227451116,0.0033553003553023755,0.13462976813762156
GENIE3,10,yes,scalefree,No,0.5155044749579787,0.07974838936734747,0.14460784313725492
TIGRESS,10,No,scalefree,No,0.5357367034317232,0.06552662105479694,0.1631504922644163
TIGRESS,10,No,scalefree,Yes,0.499779638607316,-0.006382717368049732,0.13858813339107837
TIGRESS,10,yes,scalefree,No,0.5034895323568748,-0.00037540743849516863,0.1350242446848191
Lasso,10,No,scalefree,No,0.7149038709197371,0.1680470276760456,0.21862348178137653
Lasso,10,No,scalefree,Yes,0.5106221822837071,0.026356120428705127,0.17101778282255015
Lasso,10,yes,scalefree,No,0.3997718162548484,-0.21890638831677472,0.1375579598145286
LSCO,10,No,scalefree,No,0.7151662059110274,0.22571171057039183,0.2868217054263566
LSCO,10,No,scalefree,Yes,0.5,0.023068668357208555,0.16997792494481237
LSCO,10,yes,scalefree,No,0.5439406340684436,0.053917380686405475,0.16556291390728478
CLR,10,No,scalefree,No,0.505130318484219,0.03982627855018206,0.14029995162070635
CLR,10,No,scalefree,Yes,0.499559277214632,-0.009028332036400447,0.13732534930139723
CLR,10,yes,scalefree,No,0.4950661942728933,-0.021698138461996513,0.1350242446848191
GENIE3,10,No,scalefree,No,0.5751451427960904,0.1401669831144549,0.1971830985915493
GENIE3,10,No,scalefree,Yes,0.499779638607316,-0.006382717368049732,0.13573303337082865
GENIE3,10,yes,scalefree,No,0.5618986566540555,0.09398651273394941,0.17789072426937738
TIGRESS,10,No,scalefree,No,0.5223509412579488,0.06226565749263111,0.15471394037066882
TIGRESS,10,No,scalefree,Yes,0.49779638607315996,-0.02022036861453485,0.12463199214916584
TIGRESS,10,yes,scalefree,No,0.5373097594340432,0.038760793690951166,0.16336056009334887
Lasso,10,No,smallworld,No,0.7181022337574551,0.20187265109731184,0.2529832935560859
Lasso,10,No,smallworld,Yes,0.5313444240557363,0.03747125475428442,0.17632241813602012
Lasso,10,yes,smallworld,No,0.4817420038609967,-0.21102783676264986,0.14407436096049572
LSCO,10,No,smallworld,No,0.7124898286062756,0.23657319453159645,0.29672447013487474
LSCO,10,No,smallworld,Yes,0.5,0.011785329497885496,0.17627616599338966
LSCO,10,yes,smallworld,No,0.52451696211925,0.024939663155716336,0.16072378924960087
CLR,10,No,smallworld,No,0.5543974402068995,0.15323156979645797,0.18711018711018712
CLR,10,No,smallworld,Yes,0.5045498044704539,0.008575499767846977,0.14216598436918496
CLR,10,yes,smallworld,No,0.5471989405219142,0.10042537029155747,0.17097862767154107
